ID,Effy,Novogene-MT,Novogene-MG
PR26NR008,LRFI,NS001_MT,NS001_MG
PR26NR046,LRFI,NS002_MT,NS002_MG
PR26NR025,LRFI,NS003_MT,NS003_MG
PR26NR051,LRFI,NS004_MT,NS004_MG
PR26NR066,LRFI,NS005_MT,NS005_MG
PR26NR020,HRFI,NS006_MT,NS006_MG
PR26NR021,HRFI,NS007_MT,NS007_MG
PR26NR053,HRFI,NS008_MT,NS008_MG
PR26NR068,HRFI,NS009_MT,NS009_MG
PR26NR014,HRFI,NS010_MT,NS010_MG
