"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RUG612",3999.54895977213,-0.636025358436292,0.426207383249002,-1.4922908035704,0.135622926570349,0.922235900678376
"UBA737",3781.6361912357,-0.552609230831248,0.446999794026136,-1.23626283102703,NA,NA
"CAG-177",2583.45258432012,0.190173989225177,0.261048864091158,0.728499585268331,0.466307822448298,0.991627631154911
"UBA1081",1336.497275526,-0.129065620358002,0.177888889173229,-0.725540650446795,0.468120415953456,0.991627631154911
"RUG14223",346.943500962135,-0.848494158605122,0.660149715887092,-1.28530564837847,NA,NA
"UBA8612",908.9186921475,0.0780610297119888,0.358574037319093,0.217698499020225,0.827664033241939,0.991627631154911
"Pseudoruminococcus",511.648464053497,0.0706607807483952,0.338544791792241,0.208719148725698,0.834667490832948,0.991627631154911
"MGYG000294268",257.206991822933,-0.569330190657581,0.837281961014038,-0.679974270517021,0.49652075259332,0.991627631154911
"MGYG000294096",857.819173248944,0.190029738036529,0.150436450653157,1.26318945449369,0.206521101767012,0.984234290871907
"CAG-180",755.432858418496,-0.234991680473358,0.270616604142639,-0.868356475087154,0.385199214297928,0.991627631154911
"RUG14215",511.193629717839,0.00573595896366457,0.402714142235602,0.0142432518804091,0.988635913469425,0.991627631154911
"MGYG000290178",858.626343352301,1.9377002605834,0.763513212572017,2.53787390797855,0.0111528159394618,0.319322730056169
"MGYG000292159",660.223706516823,-0.344900647934981,0.372878178745182,-0.924968709876369,0.354982183796363,0.991627631154911
"MGYG000291968",251.461088626623,-0.365794988386175,0.271105783029132,-1.34927032650893,0.177250153095603,0.984231014666599
"UMGS1279",431.128556597256,0.255344059407031,0.273653278142503,0.933093369610805,0.350771762205987,0.991627631154911
"CAG-488",485.114395896882,-0.304841364297193,0.182750060184609,-1.66807805146138,0.0953002336029228,0.752030584590601
"UMGS1487",514.629596141719,-0.122022808339208,0.168642503204047,-0.72355904366272,0.46933649325506,0.991627631154911
"MGYG000294402",434.523971868248,0.174394507854956,0.256536715336365,0.679803308568499,0.496629011459922,0.991627631154911
"MGYG000293699",345.36392700532,0.442728299559144,0.442329703927305,1.00090112788786,0.31687461121491,0.991627631154911
"MGYG000290120",405.540388608339,0.0940878296194655,0.277640134023766,0.33888410964177,0.734697035565696,0.991627631154911
"MGYG000294995",257.7623871522,-0.0800774666237828,0.258059191405078,-0.310306585817687,0.756327823422698,0.991627631154911
"MGYG000291049",290.563808121676,-0.129308783859153,0.13989113290875,-0.924352967700248,0.355302573520382,0.991627631154911
"MGYG000291887",227.157625850962,0.0383218960539998,0.251731636272339,0.152233134545476,0.879003060931655,0.991627631154911
"UMGS1532",186.173355545217,-0.0718754293231554,0.196521243162919,-0.365738727103257,0.714560045219016,0.991627631154911
"DTU089",663.81159700291,0.552791369442456,0.554595960387803,0.99674611595785,0.318887759145038,0.991627631154911
"MGYG000292022",171.440219632077,-0.0637754735915643,0.227493490764824,-0.280339773138799,0.779216839065136,0.991627631154911
"MGYG000292180",164.938295846673,-0.00833256981252371,0.20412713273079,-0.0408204911373198,0.967439003407423,0.991627631154911
"UBA1417",152.834333160572,-0.106356287593508,0.190511300504691,-0.558267605710294,0.576661662029662,0.991627631154911
"MGYG000294561",227.250329676988,0.102799510675882,0.274580240045266,0.374387868037901,0.708115767657631,0.991627631154911
"MGYG000293355",156.843793643783,-0.0220347146388539,0.174082642302233,-0.126576172945482,0.899275856465852,0.991627631154911
"MGYG000295003",171.513052922064,0.930738986012661,0.375705120089078,2.47731248856014,0.0132375946065282,0.360062573297566
"UBA1777",252055.401122572,-0.227513287917669,0.192343387641538,-1.18284954168362,0.236868782210962,0.991627631154911
"UBA2922",40506.5842387861,-0.594857933071141,0.633589189230003,-0.938870080460287,0.347797452311786,0.991627631154911
"CAG-103",51159.1381257558,-0.00942167631681515,0.442969081496337,-0.021269376826457,0.983030772063213,0.991627631154911
"UBA1774",22843.5867210242,-0.122274413333304,0.511465701730909,-0.239066691900359,0.811053868991636,0.991627631154911
"CAG-83",11754.2826523733,0.565343545018998,0.534703108248834,1.05730364439158,0.290373030554896,0.991627631154911
"CAG-110",15358.3268719188,-0.652978796396423,0.31729045470541,-2.05798436956663,0.0395916338466963,0.538446220315069
"RUG626",4016.72111849504,0.218678511959462,0.740759661851946,0.295208450488182,0.767834646961564,0.991627631154911
"ER4",7484.34848240088,0.713376181917493,0.330190871073349,2.16049638077069,0.0307342634841014,0.498471057874267
"NK3B98",4502.70112603812,0.77599631876429,0.641150609465818,1.21031830479085,0.226156776395199,0.984234290871907
"HGM13010",5409.49926585268,0.261312159006015,0.313260271424085,0.834169484110088,0.404185484525313,0.991627631154911
"MGYG000290761",4590.40363702748,0.135270034479935,0.155452127429985,0.870171651660795,0.38420660549111,0.991627631154911
"Evtepia",3809.10235060884,-0.272320620423068,0.207185559123415,-1.31438031480203,0.188718251601127,0.984234290871907
"MGYG000291153",4064.61037598732,0.0402080043835026,0.148027356563786,0.27162549758954,0.785909992077287,0.991627631154911
"UBA738",3416.70028350812,-0.475850547160098,0.18133323170816,-2.62417728222005,0.00868585616874997,0.319322730056169
"MGYG000294360",2781.72220920957,0.0600256181594472,0.226803807766686,0.264658776016652,0.791272337290897,0.991627631154911
"MGYG000294597",2284.79866288304,0.00613748602707126,0.209762145394079,0.0292592641801065,0.976657815456114,0.991627631154911
"MGYG000292575",2062.84413586379,0.0180296320628424,0.196557394261768,0.0917270608442802,0.926914896579359,0.991627631154911
"RUG678",1753.11557242632,-0.0268452979453167,0.567770261006398,-0.0472819726375457,0.962288495763238,0.991627631154911
"MGYG000291241",1641.04084993391,-0.481798437449304,0.330195154867836,-1.45913236565251,0.144528679615157,0.94727230976681
"JAAYBW01",1108.88291333561,0.511868012569427,0.476168769216895,1.07497182860447,0.282387341208939,0.991627631154911
"CAG-170",947.011189827656,-0.0757607094055876,0.207250666376472,-0.365551101620912,0.714700068458497,0.991627631154911
"HGM13006",927.324803667959,-0.210072165202467,0.171745584618888,-1.22315904463353,0.221269631027796,0.984234290871907
"Dysosmobacter",739.223649580305,0.0137286957278249,0.307165133124918,0.0446948375558035,0.96435054862163,0.991627631154911
"MGYG000293680",903.977930287957,-0.52270180547527,0.285096479265608,-1.83342076626733,0.0667400217249452,0.590029005609439
"MGYG000293661",814.715768415454,-0.215721712350765,0.213860761713319,-1.00870169273941,0.313117719730457,0.991627631154911
"F23-B02",605.098334543646,0.243260992982774,0.264104691008825,0.921077895487461,0.357009759886872,0.991627631154911
"MGYG000291412",322.352481940607,-0.0430854521126149,0.191615144584689,-0.224854106422534,0.822092772804575,0.991627631154911
"Ruminococcus",66968.0053083092,-0.439268224934315,0.595093088661768,-0.738150439491965,0.460423035729001,0.991627631154911
"Ruminococcus_D",42102.1048719547,-0.743406400324279,0.691541036121834,-1.07499969125955,0.28237486655726,0.991627631154911
"UBA3855",8398.83073186126,-1.03856179637234,0.439831903707999,-2.36126981152744,0.0182124745746799,0.396303446745035
"HUN007",1638.4331023658,-0.388622445130017,0.54988596363914,-0.70673279702962,0.479732544094174,0.991627631154911
"Ruminiclostridium_E",2872.30301339333,-0.231309354067884,0.318363447114309,-0.726557512065233,0.467497063988413,0.991627631154911
"Firm-04",3103.42009857308,0.282653519203864,0.434003907634074,0.651269525992795,0.514872516474388,0.991627631154911
"RUG11783",969.775501632722,-1.43647474998534,0.389032563585379,-3.69242804958688,0.000222123193709689,0.0604175086890354
"MGYG000293883",608.66352417594,-0.0348694855858717,0.669163245845023,-0.0521090866875666,0.958441772674995,0.991627631154911
"CAG-353",940.973002231944,-0.220932510300386,0.639403298505301,-0.345529200141519,0.729696561920917,0.991627631154911
"UBA1394",1961.14921841298,-0.659769297312261,0.72065748478951,-0.915510226754902,0.359923836153614,0.991627631154911
"MGYG000290303",334.346468762139,-0.427799321535972,1.58385754585785,-0.270099620167713,0.78708361431709,0.991627631154911
"MGYG000292826",404.421830746002,0.0236733013539956,0.489322194897418,0.0483797824845416,0.96141357167468,0.991627631154911
"MGYG000292471",806.049824105694,-2.12404653731009,1.33342174961484,-1.59292927232035,NA,NA
"MGYG000291593",356.536250619756,-0.0297719032472032,0.350001963176261,-0.0850621035865733,0.93221201803002,0.991627631154911
"MGYG000295444",363.774524542121,0.668149519088557,0.403988098489536,1.65388416536698,0.0981510505623763,0.752030584590601
"Ruminococcus_C",211.0540694827,0.0405866184596838,0.283885848259509,0.142968093367523,0.886315380092746,0.991627631154911
"UBA1409",130.080795683228,-0.214851096601545,0.172348786427067,-1.24660637916626,0.212541861536237,0.984234290871907
"QAMM01",145.634907273118,0.150392550387607,0.181466242015898,0.828763238368221,0.407238393873435,0.991627631154911
"MGYG000294447",139.495822267015,0.682730870107981,0.505167636530975,1.35149368395083,0.176537341794487,0.984231014666599
"UMGS1696",10983.9237514684,-0.173871672008238,0.348832612024775,-0.498438695278552,0.61817486874059,0.991627631154911
"UBA1248",3032.93263026026,-0.571662788034166,0.308779283023182,-1.85136380406469,0.064117232676653,0.590029005609439
"UBA1740",5955.18823167372,1.2173098783611,0.602138821852014,2.02164323937293,0.0432132216452507,0.555151369997763
"UMGS1865",1520.46402759143,-0.0295910661801738,0.356433190325547,-0.083019951517834,0.933835675358947,0.991627631154911
"RUG12395",1186.46132518758,0.180047880313442,0.444378467417528,0.405167877192108,0.685354115418642,0.991627631154911
"RUG14199",1108.19307282679,0.22583714658504,0.28152135563563,0.802202540106189,0.422435807287768,0.991627631154911
"CAG-390",1534.46727422634,0.510721940446333,0.393149021570475,1.2990543341713,0.193925283275572,0.984234290871907
"MGYG000293692",520.670998048294,-0.445432448952636,0.241268878457736,-1.84620764932459,0.0648620607141185,0.590029005609439
"CAG-841",452.744352521451,-0.47186697933025,0.464824989223999,-1.01514976662078,0.310034441748513,0.991627631154911
"RUG13077",666.070337188283,0.145433155487594,0.171533011907902,0.847843536762931,0.396525113175466,0.991627631154911
"UBA11512",364.374779762598,0.170199144191766,0.1376280381044,1.23666039664576,0.216213187327202,0.984234290871907
"RUG11130",284.964121265107,0.350685168385804,0.177023070109602,1.98101393320476,0.047589711083917,0.571289097476778
"RUG14240",456.464355427898,-0.455789176024964,0.780828827814464,-0.583724831600693,0.559405457955999,0.991627631154911
"MGYG000294970",194.684743228951,0.177719385911069,0.184544020254418,0.963018935352441,0.335538020855956,0.991627631154911
"UMGS874",188.040847264096,0.0887489187068329,0.274999051170923,0.322724454244286,0.746903930485345,0.991627631154911
"MGYG000293460",505.313727402569,0.615696810309842,0.876332877536091,0.702583260416913,NA,NA
"UMGS1312",214.332509307552,0.123350170535124,0.17715885868672,0.696268713004364,0.486260562910839,0.991627631154911
"CAG-272",111.894714980528,0.0962947503365772,0.179040637049657,0.5378373978298,0.590689310760598,0.991627631154911
"MGYG000291651",92.1209411908493,-0.139217915601518,1.05194908998395,-0.132342826213806,0.894713134839407,0.991627631154911
"HGM12650",268.909733824336,-1.04814426767966,1.67106338664377,-0.627231902785447,NA,NA
"MGYG000293972",93.5448800819445,0.754997951338676,1.10973063868204,0.680343432019989,0.496287030017513,0.991627631154911
"MGYG000294740",537.482369708713,-0.328762637175585,0.410398690871634,-0.801081105978521,0.423084693542326,0.991627631154911
"MGYG000294518",405.306251387316,-0.201987767037,0.261980213996678,-0.771003901231874,0.44070461920951,0.991627631154911
"UBA1752",322.992232510812,-0.888482706213825,0.527887854717923,-1.68308988030911,0.0923576932123355,0.752030584590601
"UBA1206",296.762600820923,-0.15437716678222,0.205961324540869,-0.749544445426147,0.453529120690017,0.991627631154911
"MGYG000293961",162.098503111321,-0.0400264694962257,0.193424585525697,-0.206935790439671,0.836060004707184,0.991627631154911
"RUG14179",105.823542351532,0.141582651094883,0.696634969290438,0.203237932828857,0.838949065369651,0.991627631154911
"UBA4644",332.811191527434,0.186959740653027,0.171776146177579,1.08839175178463,0.276422200866815,0.991627631154911
"MGYG000294987",238.488825784871,0.148417431163045,0.337361463959177,0.439935935246607,0.659983508139011,0.991627631154911
"MGYG000294034",164.464182831451,-0.0375478392483206,0.156611651803661,-0.239751249769034,0.810523101803874,0.991627631154911
"CAG-791",328938.715299163,-0.380120821683123,0.376927312442015,-1.0084724803316,0.31322769261272,0.991627631154911
"Eubacterium_Q",71676.70644826,-0.455835246648216,0.673987457825334,-0.676326007785069,0.498833683781196,0.991627631154911
"UBA1066",86432.8992396341,0.0468304054036256,0.448198127828836,0.104485946049087,0.916783720659083,0.991627631154911
"UBA2856",61494.3953916435,-0.325455128867191,0.509226914099115,-0.639116118681513,0.522747394796997,0.991627631154911
"CAG-590",25947.1969073694,-0.130157907170886,0.734915525755471,-0.177105942940976,0.859425173928612,0.991627631154911
"CAG-603",14741.717154261,0.378390782738872,0.483910475939509,0.781943771736349,0.434247619182305,0.991627631154911
"CAG-411",24159.2210883599,-0.38260345662262,0.440595079503631,-0.868378868537652,0.385186959151464,0.991627631154911
"UBA2868",19525.5126959122,-0.0274437135648849,0.404575830715021,-0.0678332996718629,0.945918335497164,0.991627631154911
"NK4A144",18512.2954935608,0.672865577420943,0.676853785919762,0.994107725210697,0.32017042477183,0.991627631154911
"Agathobacter",41021.5626807996,1.49612503471027,1.07645818132603,1.3898589473,NA,NA
"Anaerobutyricum",16380.8596666186,-0.456457892624818,0.287837189892624,-1.58581972258379,0.112780210393535,0.807268874395827
"RUG12045",6010.42191810893,-0.108000144013974,0.459548101068329,-0.235013796734013,0.814198024842746,0.991627631154911
"RUG306",8590.3463509844,0.0601410124169288,0.544472237280175,0.110457445392172,0.91204659695441,0.991627631154911
"NK4A136",8385.43437865832,-0.391170987277412,0.415010705944228,-0.942556376678099,0.345907861862729,0.991627631154911
"Butyrivibrio",10222.7461942983,-0.0755161379820411,0.365609235700125,-0.20654877013003,0.836362272884441,0.991627631154911
"UBA3766",8319.1102181755,0.111169674814867,0.28755853193867,0.386598422468568,0.699053526004067,0.991627631154911
"Pseudobutyrivibrio",11203.7049084368,0.629337078720426,0.644855704418739,0.975934731457014,NA,NA
"CAG-127",7587.8637444226,0.0799825059819874,0.383798356924913,0.208397207905805,0.834918836242263,0.991627631154911
"AC2028",5542.0042536356,0.121355623563954,0.201927426368026,0.60098633329172,0.547849089036619,0.991627631154911
"Clostridium_R",3930.47211612597,-0.224575623720971,0.361910228682212,-0.620528534213294,0.534909873989817,0.991627631154911
"UBA3633",4216.28129503774,0.272537623569953,0.447762959145741,0.608664959892865,0.542746537269248,0.991627631154911
"RUG11200",2435.09294902823,0.414478183353627,0.518817893912796,0.798889529865161,0.424354470539536,0.991627631154911
"UBA6987",4445.13156734879,-0.0950693089832019,0.281576959411507,-0.337631705313871,0.735640746427364,0.991627631154911
"UBA1712",5161.75698777358,-0.600585486124739,0.422835334776227,-1.42037676780863,0.155498022635914,0.962003150487809
"Acetatifactor",4795.69371587094,0.0998272545102481,0.327779042838018,0.304556550186708,0.760703916640366,0.991627631154911
"Eubacterium_F",3640.93656600169,0.0666654813502721,0.377252864591368,0.176712989104755,0.85973383761834,0.991627631154911
"Stomatobaculum",6560.55077621671,-0.911009593371007,0.63546294364323,-1.43361560651832,0.151681987381665,0.962003150487809
"Lachnobacterium",6076.82272882049,0.207456897686467,0.929247054852064,0.223252682484417,0.823338851751771,0.991627631154911
"UBA1267",4511.74108862215,-0.257340093136707,0.223811839517663,-1.14980554063316,0.250223972702785,0.991627631154911
"Blautia_A",4679.29093124817,-0.22047080074857,0.238344755451494,-0.925007979852271,0.35496175659969,0.991627631154911
"Eubacterium_H",4164.73672428529,0.0821757723631018,0.407163925134564,0.20182478675129,0.840053703250058,0.991627631154911
"Weimerbacter",5070.7409250245,0.830399518913321,0.744761560371702,1.11498708190428,NA,NA
"UBA2912",4388.45938330398,-0.17659997614345,0.351972073930024,-0.501744283776785,0.615847409826955,0.991627631154911
"UBA2821",3348.10163330218,0.307498245163494,0.284268188387824,1.08171880542601,0.279377494437104,0.991627631154911
"RUG11977",2349.04282731169,-0.0935975907186375,0.65716365604401,-0.14242660843735,0.886743046130202,0.991627631154911
"RUG191",2684.30580803607,0.0630002151369634,0.346241396231579,0.181954601103868,0.855618354140476,0.991627631154911
"RUG147",3334.21594060433,0.00657936046601375,0.40361645032251,0.0163010215781753,0.986994242548818,0.991627631154911
"Oribacterium",8924.51821710886,1.88674295209784,1.06781987902493,1.76691124520055,NA,NA
"UBA4285",4163.70948325297,0.04670760387078,0.335459629881527,0.139234649150706,0.889264729097907,0.991627631154911
"UBA3305",2711.76403803268,-0.206618228000167,0.264166978006561,-0.782150098999262,0.434126366881513,0.991627631154911
"TF01-11",2097.60231283556,0.0595920825503416,0.285181117191113,0.208962231220962,0.83447772282781,0.991627631154911
"UBA629",2882.78572850865,-0.211220415333665,0.387904943122451,-0.5445159157639,0.586086499119726,0.991627631154911
"Eubacterium_G",2231.33729419765,0.481230038765853,0.228029845560762,2.11038181244403,0.034825481767816,0.516366347217972
"ISDg",2029.54492878637,0.014561116049466,0.17044866131193,0.0854281631629737,0.931921004030994,0.991627631154911
"RUG14107",1437.35432601548,-0.212056656731205,0.207010281894722,-1.02437741154833,0.305657046908687,0.991627631154911
"UBA3774",1412.78302480014,-0.253634847987754,0.318902270416112,-0.7953372287278,0.426417363169434,0.991627631154911
"RUG842",1212.49563659461,-0.0165958943137315,0.226551472218968,-0.0732544094778212,0.941603670145124,0.991627631154911
"RUG12461",1104.24538753899,-0.0608037725167435,0.321850518953515,-0.188919293075695,0.850156072167753,0.991627631154911
"XBB2008",1147.81915265948,-0.330873617957319,0.311101368442335,-1.0635556494463,0.287530042721513,0.991627631154911
"RUG115",1493.63158639121,0.880083937327428,0.575834888601357,1.52836160980982,NA,NA
"Catonella",1046.42574879103,0.0359213543052954,0.243762150411124,0.147362312995317,0.882846050591664,0.991627631154911
"UBA9722",712.921614730202,-0.0345542215925009,0.288245316940302,-0.119877824761529,0.904579931056719,0.991627631154911
"MGYG000290311",697.741493492332,0.136601711820401,0.487013153159388,0.280488752581379,0.779102553429062,0.991627631154911
"Lachnospira",971.551519004356,0.18937676214688,0.209915635999159,0.902156531815661,0.366973721964932,0.991627631154911
"MGYG000290309",750.555090722119,-0.0393845063424126,0.446411983472909,-0.0882245723692645,0.929698187537016,0.991627631154911
"UBA2942",770.462565541108,0.185593253364124,0.346581031655319,0.535497434691406,0.592305931008942,0.991627631154911
"Eubacterium_I",837.941501985708,0.126597989177445,0.337311658624089,0.375314596874133,0.707426511558649,0.991627631154911
"RUG11237",2476.74183688725,-0.41963536134711,1.03277207960974,-0.406319428683316,NA,NA
"UBA2882",870.749241875653,0.413698467820063,0.428203946512264,0.966124836516924,0.333981717973737,0.991627631154911
"UBA7160",717.842303047707,-0.146559654011739,0.363499158858895,-0.403191177860829,0.686807589218373,0.991627631154911
"UBA4292",668.770627644409,-0.0121641118798652,0.282622629290431,-0.0430401200017323,0.965669552333271,0.991627631154911
"Roseburia",762.902407390562,0.427770924737057,0.464050702201926,0.921819367382224,0.356622803453528,0.991627631154911
"RUG11623",532.151435170802,-0.132859493434821,0.219878367046465,-0.604240859250811,0.545683519432477,0.991627631154911
"CAG-95",447.165234359044,0.139286235187935,0.354491980660541,0.392917873426633,0.694380140016305,0.991627631154911
"UBA3775",402.188580339173,0.143992101846802,0.43601266039502,0.330247524730928,0.741212939737391,0.991627631154911
"Acetitomaculum",454.918060687113,0.206241839661974,0.362607288351252,0.568774666939928,0.569509068646893,0.991627631154911
"UBA1066_A",510.150235361766,-0.0282000419794698,0.266146087625805,-0.10595700365552,0.915616466192949,0.991627631154911
"UBA1258",347.051696132319,0.0400277176536112,0.129893116399138,0.30815888295892,0.757961437628993,0.991627631154911
"Coprococcus",385.915139078925,0.218563529413451,0.366006787824738,0.597157038295448,0.550402539392853,0.991627631154911
"UBA1201",362.748497667355,-0.194616523428103,0.185589673084225,-1.04863875340618,0.294344412601769,0.991627631154911
"MGYG000293971",328.429868098402,-0.307069473686856,0.227565309926709,-1.34936855615538,0.177218615345672,0.984231014666599
"RUG11204",403.689271423623,0.0737511325981043,0.27274419975361,0.270404036693463,0.786849434906738,0.991627631154911
"Faecalimonas",399.846587889999,0.262787238835253,0.342311829112589,0.767683779776189,0.442675074942909,0.991627631154911
"MGYG000292998",295.742459721385,-0.0114172799971057,0.335854882890065,-0.0339946821640908,0.972881391270114,0.991627631154911
"Lachnoclostridium_B",394.678751226322,-0.111587693235852,0.275418275018263,-0.405157185841981,0.685361973679555,0.991627631154911
"V9D3004",353.152361623867,0.155986263547085,0.236801838383543,0.658720661173407,0.510075162866376,0.991627631154911
"CAG-632",732.5028012231,-1.40251425093233,0.636814332278627,-2.20239115208652,0.0276376903388054,0.498471057874267
"CAG-303",295.054619191235,0.201774680886825,0.260176496469596,0.775530009915419,0.438026539605608,0.991627631154911
"RUG14243",240.310152853893,0.0539987113846911,0.282790697832536,0.190949390480546,0.848565244018341,0.991627631154911
"UBA9775",248.585580566566,0.0134464077775307,0.300895732951781,0.044687931083707,0.96435605368865,0.991627631154911
"RUG14282",255.264920958309,0.134591340292336,0.201141678844792,0.669137003654978,0.503408087170981,0.991627631154911
"RUG14319",161.70644056896,-0.351519753711942,0.285223992622097,-1.23243402660618,0.217786996816315,0.984234290871907
"RUG760",1885.19064757105,-0.114433013892928,0.210167658329022,-0.544484412124821,0.586108172211886,0.991627631154911
"RUG159",1707.1820205428,-0.749168472678165,0.342467083471871,-2.18756344429726,0.028701417074755,0.498471057874267
